Wnd,H2O,Hs,LE,Ustar,L
0.57745,1.66245,-3.17574,-4.29381,0.1422,64.06605922551253
0.88884,1.49901,-6.72445,-16.2017,0.13811,26.2574396078889
1.03192,1.2807,1.0677250000000003,,0.07512,2.157693856805846
0.95046,1.27313,8.8599,-2.59717,0.20203,-72.10382951450089
1.9681,1.26224,15.1582,2.39999,0.10513,-5.78904712284358
2.50913,1.23913,0.67465,0.07239,0.08414,-66.86478454680535
2.62398,1.18883,-1.11711,1.51353,0.10166,77.6129699896516
2.10521,1.1323,-25.1878,1.87192,0.13279,7.113837203787724
0.58354,1.22811,-14.5679,-7.38872,0.26759,97.42368478025546
0.59062,1.51077,37.3321,0.55151,0.10113,-2.110357635273924
0.55029,1.44295,61.3829,3.49809,0.07318,-0.4851725866706918
0.1525,1.21292,108.91,3.72367,0.13788,-1.8302652664459504
0.96038,1.018,92.0623,24.0563,0.15295,-2.9154896726876927
1.20015,0.52354,126.637,-27.3635,0.16753,-2.863287563151398
0.96192,0.2457,121.426,6.92517,0.21211,-5.95876534382076
1.05973,0.0934,178.083,11.7356,0.25223,-6.824696301014605
1.05806,-0.02222,189.76,-0.03328,0.1462,-1.500245040023204
2.15461,-0.51977,245.274,19.5446,0.34328,-14.976038338658146
2.47461,-0.31159,214.554,13.6067,0.38564,-24.303305249513937
2.76007,0.19773,216.72,18.1789,0.45085,-31.95115024140869
3.19714,0.56708,112.238,12.3002,0.30707,-19.465351674020244
2.95221,0.67312,104.382,6.24334,0.2875,-17.2301566029789
2.33401,0.52538,149.805,-1.70436,0.41998,-37.58770464416973
2.14333,0.45143,77.6045,1.69631,0.29954,-26.26816881676493
1.91848,0.51426,43.1685,-0.05484,0.28901,-42.47687370209552
1.93735,0.69056,19.6826,1.66308,0.26416,-70.78810759792354
0.95963,0.77974,-0.57941,-0.0994,0.09876,125.03473186996388
0.37138,0.83854,1.97277,-0.13518,0.03124,-1.1792051109369963
0.12445,0.77131,1.292745,,0.04875,2.221289828960683
1.77809,0.71994,0.61272,-1.19278,0.12821,-295.85798816568047
3.06321,0.72323,14.2334,3.13592,0.12602,-10.558918766718287
3.9236,0.94362,-8.34816,2.7851,0.11682,14.820181794230008
2.90582,1.02364,-23.1096,3.87451,0.15534,12.467446112927355
3.49124,1.09236,-7.04194,-0.03066,0.13296,25.400767667645063
3.55848,1.06921,-8.94552,1.21771,0.10632,10.309514536415495
3.24668,1.11109,-4.71209,0.08693,0.14421,48.50183229144212
3.54251,1.10989,-5.78801,-0.00999,0.12775,27.415620811502375
3.45571,1.09821,-10.4344,0.38695,0.13876,19.53294556819168
1.10587,1.21277,-1.44377,-3.12692,0.14759,150.6024096385542
0.20395,1.47605,20.8283,-5.04043,0.23899,-50.59590735327187
2.50645,1.49067,-7.61597,-3.37476,0.18726,64.00227563646708
1.21872,1.44005,-5.48069,-3.17205,0.18583,86.27300613496932
1.38586,1.10281,-3.75855,-3.86004,0.10574,22.61647484545409
0.63795,1.03358,9.478225,,0.08316,-293.73368146214096
1.17578,0.97328,22.715,5.05746,0.15491,-12.295081967213116
0.44761,1.07777,27.5872,-2.17094,0.25462,-45.72241414346678
0.72128,1.08777,19.755336666666665,,0.03796,1.4264611717269058
0.82809,1.08766,11.923473333333332,,0.06368,4.334508466739871
0.96316,1.07732,4.09161,-4.62863,0.14001,-54.532234609791566
2.04053,0.90968,-0.36205,,0.05163,1.2523725502201393
0.38087,0.99405,-4.81571,3.96022,0.12292,30.779753761969904
0.2231,1.01802,0.65367,-6.28255,0.17744,-1424.0506329113923
0.18529,1.10903,-7.03252,4.40423,0.16774,52.978573110430894
0.23069,0.97772,-1.85353,-6.72289,0.15391,124.48132780082987
0.17956,1.01191,-16.3804,1.61084,0.1831,28.72646026172997
0.45074,1.0552,1.1180999999999983,-9.34242,0.31227,-13.421217453547676
2.98634,1.1461,18.6166,6.08495,0.20785,-36.12426748013165
2.81292,1.49916,24.9028,0.08689,0.21207,-29.239766081871345
2.63824,1.6406,63.8131,4.22901,0.24995,-18.618121638394705
3.82209,1.09298,75.7752,-0.74327,0.33096,-36.54377131719993
2.83756,1.12118,90.9168,5.72145,0.25769,-14.314342971657602
2.50564,1.09222,136.805,6.93058,0.30695,-16.08694097880099
3.37011,1.06452,111.711,5.82348,0.30424,-19.17586397920484
3.13717,1.00514,169.472,4.33213,0.35436,-19.992891416385284
3.61442,0.90393,137.541,8.3905,0.38933,-32.5874429719748
3.96192,0.83868,169.465,-1.73778,0.4774,-48.96094005004896
4.8056,0.69361,155.054,5.87273,0.53831,-76.47858599592114
5.21373,0.59689,158.813,4.47748,0.56095,-84.5229151014275
4.86611,0.55052,139.602,8.77899,0.58634,-109.59571358986848
4.47027,0.47483,121.663,4.84774,0.57171,-116.70124481327802
4.32978,0.56017,114.568,-0.39168,0.58115,-130.54830287206266
5.51451,0.57211,74.0992,0.38984,0.59922,-221.13022113022112
