Wnd,H2O,Hs,LE,Ustar,L
4.0403,5.533308,283.085,12.4816,0.473821,-28.5348
3.66825,5.568948000000001,276.364,10.686,0.379485,-15.0153
3.98549,5.623848,260.753,13.5529,0.363337,-13.9638
4.44957,5.678244,165.36,5.40517,0.330658,-16.5908
4.00793,5.654844,120.603,4.09729,0.362487,-29.97
3.40947,5.64309,95.7789,7.29542,0.36031,-37.0626
3.54725,5.680890000000001,65.962,0.635558,0.359623,-53.5018
2.92897,5.795262,3.43225,-0.899047,0.17369,-115.844
2.414,6.03036,-10.3516,-0.454592,0.161748,31.0275
1.73692,6.067997999999999,-17.5502,-10.2733,0.193412,31.2928
2.15347,5.951772,-15.1668,-2.3265,0.155357,18.7714
2.84319,5.88888,-9.41606,-0.677917,0.0783911,3.8855
2.45158,5.86899,-40.4814,-7.23469,0.230557,23.0034
2.80946,5.846291999999999,-28.6354,-3.8369,0.250607,41.7633
3.8396,5.759514,-40.9098,-5.2957,0.213692,18.1208
4.90944,5.759784,-22.6198,-1.55076,0.212649,32.2994
4.87486,5.673654,-38.6265,-0.624439,0.224332,22.2046
4.33206,5.608745999999999,-40.8445,0.620815,0.22425,20.9721
5.00609,5.5706940000000005,-63.9861,-2.23958,0.348889,50.4197
5.61275,5.67486,-69.6205,-1.24131,0.440419,93.2003
4.57251,5.711706,-36.8803,-1.5964,0.236476,27.2319
3.99593,5.7367799999999995,-35.2404,-1.36862,0.229037,25.8954
5.20438,5.826402,-35.8202,1.59526,0.350094,90.985
3.91498,5.944284,-22.2987,3.27338,0.346708,141.924
4.42338,6.124896,-43.6403,-5.18751,0.215614,17.4329
4.51688,6.172398,-23.1545,-1.07755,0.194295,24.0375
1.01403,6.3758159999999995,3.09177,-23.2022,0.508356,-3224.25
1.98208,6.300216000000001,-7.72286,0.241913,0.0890012,6.92687
2.84542,6.200856000000001,-23.0849,-2.92361,0.112691,4.70296
3.30541,6.164784,-29.707,-2.22292,0.184091,15.9344
2.90348,6.1643159999999995,-26.616,-3.19335,0.179845,16.5887
3.63288,6.1052219999999995,-27.846,-3.50236,0.170932,13.6121
3.62346,6.133086,-57.0274,-6.76666,0.22507,15.1809
4.01828,6.2598780000000005,-19.9915,1.74229,0.276863,80.6475
3.49923,6.415686000000001,6.56227,-0.694681,0.233112,-146.698
2.57642,6.586326,22.3798,16.1804,0.259834,-59.5812
2.86103,6.601769999999999,86.5742,6.72503,0.275483,-18.354
2.88338,7.088220000000001,132.101,15.6129,0.188351,-3.84546
2.05417,6.875316,162.999,12.893,0.190873,-3.2437
1.68928,6.954264,139.447,1.33451,0.288004,-13.0239
2.33413,6.892326,177.069,15.6587,0.135833,-1.07576
1.19575,6.646859999999999,215.32,21.582,0.340356,-13.9158
3.09453,6.3955079999999995,250.878,15.5928,0.328196,-10.7008
4.41478,6.407982,267.141,16.7157,0.374549,-14.9339
5.19124,6.4845,331.47,30.5617,0.421869,-17.1964
5.40118,6.551208000000001,402.63,18.4603,0.458808,-18.209
5.40327,6.493644,333.273,18.7217,0.432083,-18.3688
4.93431,6.471972,250.295,18.7486,0.401343,-19.5985
6.13594,6.4817100000000005,239.187,16.3685,0.423959,-24.1669
5.57729,6.5850480000000005,236.99,11.3967,0.405,-21.2572
4.56655,6.528366,211.944,13.845,0.358328,-16.4581
5.46843,6.519563999999999,145.099,6.56204,0.284324,-12.0057
5.60649,6.601086,142.861,6.90714,0.357517,-24.2393
5.51563,6.611526,102.528,4.38233,0.304588,-20.8856
4.33586,6.610464,48.2686,-0.466245,0.250503,-24.6775
3.90528,6.649308,13.494,-0.839778,0.208767,-51.0965
2.08386,6.724422000000001,-5.83971,-1.11933,0.130511,28.8545
1.15017,6.815772,-9.59944,-1.6547,0.164965,35.4509
2.43906,6.655788,-6.17193,-1.5212,0.0945605,10.3854
3.81538,6.517962,-12.9064,-1.67439,0.106138,7.02407
4.17047,6.487812000000001,-17.7115,-2.27214,0.141183,12.0499
4.16729,6.494076,-14.2863,-1.41177,0.136474,13.4955
4.47863,6.502446,-21.6683,-2.16639,0.153547,12.6717
