Wnd,H2O,Hs,LE,Ustar,L
1.58408,2.883402,-6.19916,0.65394,0.0596552,2.78121
1.55802,2.856924,4.99348,-0.0991742,0.129556,-35.3606
3.20639,2.81376,-14.1561,-2.57817,0.128316,12.1179
2.17921,2.973096,-3.31994,-0.868304,0.0543055,3.91674
1.67079,3.452886,-3.94382,1.19642,0.0630521,5.16109
1.79728,3.531293999999999,-1.78182,-0.643673,0.0215423,0.455496
2.4674,3.365298,-5.15241,0.715297,0.0786834,7.67328
2.44645,3.040326,-6.29504,-0.484243,0.0954802,11.2218
2.29426,2.924118,-6.33678,-0.580362,0.0888824,8.99443
2.82458,3.009366,-7.721,-0.426041,0.134983,25.8619
2.8252,3.02436,1.68072,0.28683,0.139334,-130.697
3.1405,3.103542,40.306,3.11614,0.170428,-9.97451
3.88873,2.994606,43.2143,3.39039,0.191963,-13.2945
3.95411,2.86506,79.6534,7.88765,0.245342,-15.0608
4.71005,2.696634,130.894,4.86589,0.254428,-10.2233
4.60394,2.639358,143.862,3.59028,0.178593,-3.21722
4.11773,2.577618,162.698,2.31823,0.219113,-5.25267
4.72698,2.36493,202.494,4.60833,0.288844,-9.66446
4.38747,2.216538,200.368,7.11152,0.213124,-3.92208
3.47088,2.084994,194.204,5.57062,0.151936,-1.46563
2.57676,1.977228,240.569,5.98284,0.270291,-6.65897
2.46306,1.912842,196.183,3.91769,0.316378,-13.0914
1.78826,1.851282,188.837,0.189538,0.161094,-1.79504
2.0966,1.7641962,190.146,2.96984,0.271725,-8.55224
1.13856,1.7063154,133.659,9.87971,0.289633,-14.7292
0.345454,1.6945632,115.52,0.420522,0.268962,-13.6432
0.308907,1.7361144,115.168,1.99776,0.244873,-10.3249
2.25319,1.827576,131.774,-0.287833,0.286388,-14.4336
4.13317,1.87443,105.515,-0.0837097,0.232754,-9.67561
3.89425,1.849302,59.7117,-0.140831,0.266538,-25.6779
5.60992,1.812762,35.1154,-0.0253571,0.281631,-51.5226
4.90653,1.926162,1.25965,0.573831,0.253841,-1051.95
5.74468,2.503026,-5.10661,-24.5156,0.34096,629.005
10.1205,3.82059,-21.1883,-10.2913,0.519837,537.435
10.3335,3.97386,-32.599,-2.69303,0.535407,381.734
10.6506,4.027752,-38.2471,-0.924371,0.56874,390.1
11.0671,4.099194,-24.8593,-2.8818,0.546178,531.689
10.8412,4.110822,-36.6173,-2.70969,0.54632,361.353
11.5764,3.977352,-28.6531,-0.198801,0.572048,530.3
10.2656,3.969846,-21.4193,-1.33339,0.462,373.825
8.49593,3.975354,-23.4325,-1.8463,0.43836,291.964
8.63707,3.83184,-19.8165,-3.08743,0.427298,319.786
9.84975,3.084948,-19.5586,1.84833,0.511726,556.435
8.09378,2.867724,-15.6531,-0.125896,0.431277,416.339
8.9731,2.652102,-17.1296,0.406438,0.479386,522.523
8.67942,2.62071,-34.7843,-0.767506,0.433741,190.582
8.3219,2.737458,-33.2719,-2.33211,0.419384,180.12
9.30095,2.870658,-36.6834,-2.27578,0.474505,236.589
9.96245,2.965031999999999,-40.4651,-0.272509,0.494553,242.75
10.0526,3.132162,-40.4652,0.6783,0.504656,257.873
9.52478,3.241386,-35.3174,-3.71578,0.494264,277.578
10.0332,3.360474,-35.849,-0.0296028,0.501277,285.302
9.76861,3.509765999999999,-33.9554,-2.74786,0.502606,303.719
10.1521,3.563046,-33.6634,-2.58808,0.564045,433.068
11.1297,3.559302,-30.906,-1.89143,0.566259,477.246
12.4511,3.576492,-33.0139,-1.89119,0.649322,673.806
12.4092,3.568428,-24.924,-2.00614,0.695451,1097.22
13.1674,3.517812,3.67741,1.09616,0.672194,-6717.35
13.0109,3.48714,28.8707,-0.239754,0.706641,-994.221
11.6229,3.49452,57.2332,0.376388,0.666411,-420.954
11.5308,3.50199,112.511,1.35469,0.596412,-153.584
10.1709,3.511674,152.938,2.48243,0.586868,-107.694
8.19203,3.506166,158.771,3.51025,0.428881,-40.5042
7.20439,3.449808,172.265,4.75671,0.375282,-25.0149
5.90361,3.37149,206.969,1.88202,0.416131,-28.3887
3.23414,3.28194,146.333,2.94946,0.253857,-9.11679
